	ETF
SECTYPE	бирж.ПИФ	Тип
STATUS	торгуется	Статус
LOTSIZE	1	Лот
BID	132.20	Спрос
BIDDEPTH	386	Кол. спрос
BIDDEPTHT	763441	Общ. спрос
NUMBIDS	314	Заявки куп.
OFFER	132.25	Предл.
OFFERDEPTH	456	Кол. предл.
OFFERDEPTHT	460173	Общ. предл.
NUMOFFERS	126	Заявки прод.
OPEN	136.90	Откр.
HIGH	136.90	Макс. цена
LOW	131.70	Мин. цена
LAST	132.20	Цена послед.
CHANGE	0.25	Измен. к закр.
QTY	11	Кол-во послед.
TIME	18:33:44	Время послед.
VOLTODAY	2386980	Общее кол-во
VALTODAY	318448134	Оборот
TRADINGSTATUS	открыта	Сессия
VALUE	1454.20	Оборот посл.
WAPRICE	133.40	Ср. взв. цена
HIGHBID	135.00	Лучш. спрос
LOWOFFER	130.00	Лучш. пред
NUMTRADES	5059	Кол-во сделок
PREVPRICE	131.95	Цена закр.
CLOSEPRICE	0.00	Закр.
LASTCHANGE	0.19	% измен.закр.
MARKETPRICE	130.70	Вч.рын.цена
MARKETPRICETODAY	0.00	Рын.цена
ISSUESIZE	0	Объем обр.
PREVDATE	04/07/2025	Дата посл.торг.
LCURRENTPRICE	132.35	Оф.тек.цена
LCLOSEPRICE	0.00	Оф.цена закр.
QUOTEBASIS	Цена	Тип цены
LASTBID	132.20	Спрос сессии
LASTOFFER	132.25	Предл.сессии
MARKETPRICE2	0.00	Рын.цена2
PREVLEGALCLOSEPR	131.90	Пред.цена закр.
OPENPERIODPRICE	136.90	Цена предторг.
MIN_CURR_LAST	132.25	Мин.тек.цена
SETTLECODE	Y1	Код расч.
ISSUESIZEPLACED	0	Объем в обр.
SETTLEDATE	04/09/2025	Дата расч.
CURRENCYID	SUR	Сопр.валюта
LISTLEVEL	1	Листинг
PRICEMAX	142.35	Макс.возм.цена
PRICEMIN	121.15	Мин.возм.цена
FULLCOVEREDFLAG	Нет	Запр.необ.торгов
COMPLEXPRODUCT	-100	Сложный продукт
LONGNAME	БПИФ Индекс МосБиржи УК ВИМ	Инструмент
SHORTNAME	EQMX ETF	Инструмент сокр.
CODE	EQMX	Код инструмента
ISINCODE	RU000A101EJ5	ISIN
REGNUMBER	3965	Рег.номер
CFI_CODE		CFI
STOCKCODE		StockCode
SEDOL		SEDOL
RIC		RIC
CUSIP		CUSIP
STOCKNAME		StockName
BSID		Bloomberg ID
QTY_SCALE	0	Точн. кол-ва
LOT	1	Кратность лота
CLASSNAME	МБ ФР: Т+: ETF	Класс
CLASS_CODE	TQTF	Код класса
TRADE_DATE_CODE	04/08/2025	Дата торгов
SEC_FACE_VALUE		Номинал
SEC_FACE_UNIT	SUR	Валюта
SEC_SCALE	2	Точность
SEC_PRICE_STEP	0.05	Шаг цены
SEC_COMMENT		Комментарий
AGENT_ID		Агент по размещ.
AUCTION_ID		ID аукциона
ISSUER		Эмитент
SECTYPESTATIC	Ценные бумаги	Тип инстр-та
SECSUBTYPESTATIC	Пай открытого ПИФа	Подтип инстр-та
MAX_ACT_QTYSCALE	0	Макс.акт.точ.кол
PRIMARYDIST	Нет	Размещение IPO
QUALIFIED		Квалиф. инвестор
EV_SESS_ALLOWED	Да	Доп.сессия
HIGH_RISK		П.И.Р.
REPOBASIS		Базис РЕПО
MORN_SESS_ALLOWE		Утр. сессия
ANONTRADE	Разрешена	Анон. торг.
PREVWAPRICE	130.75	Пред. оц.
COUNTERPRICE	0.00	Цена контраг.
BENCHMARK		Индикатор
PLANNEDTIME	09:50:00	Начало аук.план
STARTTIME	09:50:00	Начало.аук.
ENDTIME	09:59:47	Окончание.аук.
AUCTPRICE	136.90	Цена аукц.
AUCTVALUE	13285186.70	Объем аукц.
AUCTVOLUME	97043	Кол-во аукц.
AUCTNUMTRADES	48	Кол-во сд.аукц.
MARKETVOLB	0	Рын.пок.
MARKETVOLS	0	Рын.прод.
DIVIDENDVALUE	0.00	Дивиденды
DIVIDENDDATE		Дата з.р.
