	FUT
STATUS	торгуется	Статус
LOTSIZE	100	Лот
BID	13113	Спрос
BIDDEPTH	2	Кол. спрос
BIDDEPTHT	30761	Общ. спрос
NUMBIDS	827	Заявки куп.
OFFER	13117	Предл.
OFFERDEPTH	1	Кол. предл.
OFFERDEPTHT	18861	Общ. предл.
NUMOFFERS	1135	Заявки прод.
HIGH	13427	Макс. цена
LOW	12928	Мин. цена
LAST	13115	Цена послед.
CHANGE	7	Измен. к закр.
QTY	5	Кол-во послед.
TIME	18:39:22	Время послед.
VOLTODAY	205414	Общее кол-во
VALTODAY	2712062321.00	Оборот
TRADINGSTATUS	открыта	Сессия
VALUE	65575.00	Оборот посл.
WAPRICE	13203	Ср. взв. цена
NUMTRADES	39642	Кол-во сделок
PREVPRICE	13205	Цена закр.
LASTCHANGE	0.05	% измен.закр.
SETTLECODE		Код расч.
SETTLEDATE		Дата расч.
PRICEMAX	14381	Макс.возм.цена
PRICEMIN	12029	Мин.возм.цена
LONGNAME	GAZR-6.25	Инструмент
SHORTNAME	GZM5	Инструмент сокр.
CODE	GZM5	Код инструмента
ISINCODE		ISIN
REGNUMBER		Рег.номер
CFI_CODE		CFI
STOCKCODE		StockCode
SEDOL		SEDOL
RIC		RIC
CUSIP		CUSIP
STOCKNAME		StockName
BSID		Bloomberg ID
QTY_SCALE	0	Точн. кол-ва
LOT	1	Кратность лота
CLASSNAME	FORTS: Фьючерсы	Класс
CLASS_CODE	SPBFUT	Код класса
TRADE_DATE_CODE	04/08/2025	Дата торгов
SEC_FACE_VALUE		Номинал
SEC_FACE_UNIT	SUR	Валюта
SEC_SCALE	0	Точность
SEC_PRICE_STEP	1	Шаг цены
SEC_COMMENT		Комментарий
AGENT_ID		Агент по размещ.
AUCTION_ID		ID аукциона
ISSUER		Эмитент
SECTYPESTATIC	Фьючерсы	Тип инстр-та
SECSUBTYPESTATIC	Поставочный фьючерс	Подтип инстр-та
MAX_ACT_QTYSCALE	0	Макс.акт.точ.кол
ANONTRADE	Разрешена	Анон. торг.
MAT_DATE	06/19/2025	Погашение
DAYS_TO_MAT_DATE	72	До погашения
EXPDATE	06/20/2025	Дата исп.
PREVWAPRICE	13108	Пред. оц.
BENCHMARK		Индикатор
CHANGETIME	18:39:29	Время изм.
TRADINGPHASE	открыта	Бирж. сессия
STARTTIME	10:00:00	Начало.аук.
ENDTIME	18:50:00	Окончание.аук.
AUCTPRICE	13307	Цена аукц.
TRADECHANGE	-1	Тренд
CLPRICE	13205	Кот. клиринга
OPTIONBASE	GAZR	Баз.актив
PREVSETTLEPRICE	13108	Пред.расч.цена
SELLDEPO	2387.96	ГО продавца
BUYDEPO	2317.35	ГО покупателя
STEPPRICE	1.000000	Ст. шага цены
SETTLEPRICE	13116	Расч. цена
R_SETTLEPRICE	13116.00000	Реал. расч. цена
CLSTATE	Завершен пр.	Статус кл.
R_CLPRICE	13205.00000	Реал.кот.клиринг
EVNSTARTTIME	19:05:00	Начало веч.
EVNENDTIME	23:50:00	Окончание веч.
STEP_IN_CURRENCY	1.000000	Ст.шага в валюте
FIRSTOPEN	13162	Перв.цена сессии
LASTCLOSE	0	Посл.цена сессии
PREVSETTLEVOL	13108.00	Пред.расч.объем
OPENPCTCHANGE	-0.36	% измен.откр.
NEGATIVEPRC	Да	Огран.отриц.цен
NUMCONTRACTS	759348	Откр.инт.
SWAP_RATE	0.000000	Ставка переноса
AUCTALLOW	Да	Разрешен аукцион
ISPERCENT	Обычная	Тип цены фьюч.
FUTURETYPE	Поставочный	Тип фьючерса
OPTIONBASECLASS		Класс баз.актива
CURSTEPPRICE	SUR	Валюта шага цены
PREV_SWAP_RATE	0.000000	Ставка пер.пред.
BUYDEPO_HRC	2317.35	ГО покупат. КПУР
BUYDEPO_MRC	4070.02	ГО покупат. КСУР
BUYDEPO_LRC	5255.06	ГО покупат. КНУР
BUYDEPO_ERC	2317.35	ГО покупат. КОУР
SELLDEPO_HRC	2387.96	ГО продавца КПУР
SELLDEPO_MRC	4196.54	ГО продавца КСУР
SELLDEPO_LRC	5419.38	ГО продавца КНУР
SELLDEPO_ERC	2387.96	ГО продавца КОУР
