	LIST_BOND
SECTYPE	бирж.обл.	Тип
STATUS	торгуется	Статус
LOTSIZE	1	Лот
BID	0.00	Спрос
BIDDEPTH	0	Кол. спрос
BIDDEPTHT	0	Общ. спрос
NUMBIDS	0	Заявки куп.
OFFER	0.00	Предл.
OFFERDEPTH	0	Кол. предл.
OFFERDEPTHT	0	Общ. предл.
NUMOFFERS	0	Заявки прод.
OPEN	100.00	Откр.
HIGH	100.00	Макс. цена
LOW	100.00	Мин. цена
LAST	100.00	Цена послед.
CHANGE	0.00	Измен. к закр.
QTY	50	Кол-во послед.
TIME	10:32:41	Время послед.
VOLTODAY	30060	Общее кол-во
VALTODAY	30060000	Оборот
TRADINGSTATUS	открыта	Сессия
VALUE	50000.00	Оборот посл.
WAPRICE	0.00	Ср. взв. цена
HIGHBID	0.00	Лучш. спрос
LOWOFFER	0.00	Лучш. пред
NUMTRADES	6	Кол-во сделок
PREVPRICE	100.00	Цена закр.
ACCRUEDINT	19.97	НКД
YIELD	30.61	Доходность
COUPONVALUE	22.19	Размер купона
COUPONPERIOD	30	Длит. купона
YIELDATPREVWAPRI	0.00	Доход.пред.оц.
YIELDATWAPRICE	0.00	Доход.оц.
PRICEMINUSPREVWA	0.00	Изм. к пред.оц.
CLOSEPRICE	0.00	Закр.
LASTCHANGE	0.00	% измен.закр.
MARKETPRICE	99.81	Вч.рын.цена
MARKETPRICETODAY	0.00	Рын.цена
NEXTCOUPON	04/12/2025	Дата выпл. куп.
BUYBACKPRICE	0.00	Оферта
BUYBACKDATE		Дата расч.доход
ISSUESIZE	300000	Объем обр.
PREVDATE	04/08/2025	Дата посл.торг.
DURATION	0.00	Дюрация
LCURRENTPRICE	0.00	Оф.тек.цена
LCLOSEPRICE	0.00	Оф.цена закр.
QUOTEBASIS	% от ном.	Тип цены
LASTBID	0.00	Спрос сессии
LASTOFFER	0.00	Предл.сессии
MARKETPRICE2	0.00	Рын.цена2
PREVLEGALCLOSEPR	0.00	Пред.цена закр.
OPENPERIODPRICE	0.00	Цена предторг.
MIN_CURR_LAST	0.00	Мин.тек.цена
SETTLECODE	T0	Код расч.
ISSUESIZEPLACED	233178	Объем в обр.
SETTLEDATE	04/09/2025	Дата расч.
CURRENCYID	SUR	Сопр.валюта
LISTLEVEL	3	Листинг
PRICEMAX	100.00	Макс.возм.цена
PRICEMIN	100.00	Мин.возм.цена
FULLCOVEREDFLAG	Нет	Запр.необ.торгов
COMPLEXPRODUCT	6	Сложный продукт
LONGNAME	Патриот Групп 001Р-01	Инструмент
SHORTNAME	Патриот1Р1	Инструмент сокр.
CODE	RU000A10B2D2	Код инструмента
ISINCODE	RU000A10B2D2	ISIN
REGNUMBER	4B02-01-00084-L-001P	Рег.номер
CFI_CODE		CFI
STOCKCODE		StockCode
SEDOL		SEDOL
RIC		RIC
CUSIP		CUSIP
STOCKNAME		StockName
BSID		Bloomberg ID
QTY_SCALE	0	Точн. кол-ва
LOT	1	Кратность лота
CLASSNAME	МБ ФР: Первичное размещение (Облигации)	Класс
CLASS_CODE	PSAU	Код класса
TRADE_DATE_CODE	04/09/2025	Дата торгов
SEC_FACE_VALUE	1000.00	Номинал
SEC_FACE_UNIT	SUR	Валюта
SEC_SCALE	2	Точность
SEC_PRICE_STEP	0.01	Шаг цены
SEC_COMMENT		Комментарий
AGENT_ID	MC0089500000	Агент по размещ.
AUCTION_ID		ID аукциона
ISSUER		Эмитент
SECTYPESTATIC	Облигации	Тип инстр-та
SECSUBTYPESTATIC	Биржевая облигация	Подтип инстр-та
MAX_ACT_QTYSCALE	0	Макс.акт.точ.кол
PRIMARYDIST	Нет	Размещение IPO
QUALIFIED		Квалиф. инвестор
EV_SESS_ALLOWED		Доп.сессия
HIGH_RISK		П.И.Р.
REPOBASIS		Базис РЕПО
MORN_SESS_ALLOWE		Утр. сессия
ANONTRADE	Запрещена	Анон. торг.
MAT_DATE	02/26/2028	Погашение
DAYS_TO_MAT_DATE	1053	До погашения
EXPDATE		Дата исп.
OBLPERCENT	Процентная	Тип цены обл.
SUBORDINATEDINST		Суборд инстр-т
BONDSREMARKS		Неточ. параметры
PREVWAPRICE	0.00	Пред. оц.
COUNTERPRICE	0.00	Цена контраг.
BENCHMARK		Индикатор
