	OTC_BOND
SECTYPE	корп.обл.	Тип
STATUS	торгуется	Статус
LOTSIZE	1	Лот
BID	0.0000	Спрос
BIDDEPTH	0	Кол. спрос
BIDDEPTHT	0	Общ. спрос
NUMBIDS	0	Заявки куп.
OFFER	0.0000	Предл.
OFFERDEPTH	0	Кол. предл.
OFFERDEPTHT	0	Общ. предл.
NUMOFFERS	0	Заявки прод.
OPEN	0.0000	Откр.
HIGH	0.0000	Макс. цена
LOW	0.0000	Мин. цена
LAST	0.0000	Цена послед.
CHANGE	0.0000	Измен. к закр.
QTY	0	Кол-во послед.
TIME		Время послед.
VOLTODAY	0	Общее кол-во
VALTODAY	0	Оборот
TRADINGSTATUS	закрыта	Сессия
VALUE	0.00	Оборот посл.
WAPRICE	0.0000	Ср. взв. цена
HIGHBID	0.0000	Лучш. спрос
LOWOFFER	0.0000	Лучш. пред
NUMTRADES	0	Кол-во сделок
PREVPRICE	0.0000	Цена закр.
ACCRUEDINT	0	НКД
YIELD	0.00	Доходность
COUPONVALUE	0.01	Размер купона
COUPONPERIOD	1111	Длит. купона
YIELDATPREVWAPRI	0.00	Доход.пред.оц.
YIELDATWAPRICE	0.00	Доход.оц.
PRICEMINUSPREVWA	0.0000	Изм. к пред.оц.
CLOSEPRICE	0.0000	Закр.
LASTCHANGE	0.00	% измен.закр.
MARKETPRICE	0.0000	Вч.рын.цена
MARKETPRICETODAY	0.0000	Рын.цена
NEXTCOUPON	11/03/2026	Дата выпл. куп.
BUYBACKPRICE	0.0000	Оферта
BUYBACKDATE		Дата расч.доход
ISSUESIZE	11680	Объем обр.
PREVDATE	04/08/2025	Дата посл.торг.
DURATION	0.00	Дюрация
LCURRENTPRICE	0.0000	Оф.тек.цена
LCLOSEPRICE	0.0000	Оф.цена закр.
QUOTEBASIS	% от ном.	Тип цены
LASTBID	0.0000	Спрос сессии
LASTOFFER	0.0000	Предл.сессии
MARKETPRICE2	0.0000	Рын.цена2
PREVLEGALCLOSEPR	0.0000	Пред.цена закр.
OPENPERIODPRICE	0.0000	Цена предторг.
MIN_CURR_LAST	0.0000	Мин.тек.цена
SETTLECODE	Y1	Код расч.
ISSUESIZEPLACED	0	Объем в обр.
SETTLEDATE	04/10/2025	Дата расч.
CURRENCYID	SUR	Сопр.валюта
LISTLEVEL	0	Листинг
PRICEMAX	140.0830	Макс.возм.цена
PRICEMIN	60.0357	Мин.возм.цена
FULLCOVEREDFLAG	Нет	Запр.необ.торгов
COMPLEXPRODUCT	0	Сложный продукт
LONGNAME	СФО АЗБУКА ДОХОДА 001Р-CO-15 (	Инструмент
SHORTNAME	АЗБ001Р-15	Инструмент сокр.
CODE	RU000A0NX2X3	Код инструмента
ISINCODE	RU000A0NX2X3	ISIN
REGNUMBER	6-15-00704-R-001P	Рег.номер
CFI_CODE		CFI
STOCKCODE		StockCode
SEDOL		SEDOL
RIC		RIC
CUSIP		CUSIP
STOCKNAME		StockName
BSID		Bloomberg ID
QTY_SCALE	0	Точн. кол-ва
LOT	1	Кратность лота
CLASSNAME	МБ ФР: ОТС облигации Т+	Класс
CLASS_CODE	OCTR	Код класса
TRADE_DATE_CODE	04/09/2025	Дата торгов
SEC_FACE_VALUE	1000.00	Номинал
SEC_FACE_UNIT	SUR	Валюта
SEC_SCALE	4	Точность
SEC_PRICE_STEP	0.0001	Шаг цены
SEC_COMMENT		Комментарий
AGENT_ID		Агент по размещ.
AUCTION_ID		ID аукциона
ISSUER		Эмитент
SECTYPESTATIC	Облигации	Тип инстр-та
SECSUBTYPESTATIC	Корпоративная облигация	Подтип инстр-та
MAX_ACT_QTYSCALE	0	Макс.акт.точ.кол
PRIMARYDIST	Нет	Размещение IPO
QUALIFIED	Для любых квал.инвесторов	Квалиф. инвестор
EV_SESS_ALLOWED		Доп.сессия
HIGH_RISK		П.И.Р.
REPOBASIS		Базис РЕПО
MORN_SESS_ALLOWE		Утр. сессия
ANONTRADE	Разрешена	Анон. торг.
MAT_DATE	11/03/2026	Погашение
DAYS_TO_MAT_DATE	573	До погашения
EXPDATE		Дата исп.
OBLPERCENT	Процентная	Тип цены обл.
SUBORDINATEDINST		Суборд инстр-т
BONDSREMARKS	S	Неточ. параметры
PREVWAPRICE	0.0000	Пред. оц.
COUNTERPRICE	0.0000	Цена контраг.
BENCHMARK		Индикатор
